time,conc
0.01,462.9623
0.01,337.33048
0.01,245.89095
0.01,199.09164
0.01,113.42143
0.01,88.66225
0.5,109.8612
0.5,74.64447
0.5,54.39965
0.5,39.64556
0.5,28.88714
1,69.76129
1,50.84087
1,44.16285
1,34.53645
1,30.00616
1,21.11261
1,16.50386
1,14.3419
2,56.83031
2,49.37564
2,38.59725
2,33.53428
2,24.43923
2,21.23343
2,16.60169
2,13.44744
2,6.89416
3,51.43487
3,33.73305
3,26.37471
3,19.90916
3,16.70009
3,13.05723
3,9.18532
3,8.26765
3,7.44015
3,5.8172
3,4.711
3,3.81437
3,3.2002
3,44.76085
4,41.90089
4,23.87557
4,18.66749
4,14.59547
4,12.67833
4,9.23976
4,4.90747
4,4.41628
4,3.97426
4,3.21852
4,2.89638
4,2.03792
4,1.38437
4,30.56157
6,26.84102
6,21.75908
6,14.766
6,13.28808
6,10.76121
6,10.39161
6,9.02666
6,8.41382
6,7.05763
6,5.51812
6,4.1654
6,1.99092
6,1.85575
6,1.50286
6,1.09526
6,0.77063
6,0.6935
6,0.38152
8,14.42544
8,8.51386
8,5.78233
8,4.85129
8,4.06933
8,3.07114
8,1.74997
8,1.06978
8,0.89735
8,0.75271
8,0.65397
8,0.39978
8,0.34734
8,0.23595
12,2.44417
12,7.05835
12,4.47016
12,3.49506
12,1.85594
12,1.67018
12,1.45109
12,0.52344
12,0.23325
12,0.2099
12,0.18889
12,0.14766
12,0.11958
12,0.10761
12,0.09686
