tissue,f_cells,f_interstitium,f_water,f_lipids,f_proteins,f_n_l,f_n_pl,f_a_pl,pH
Adipose,0.86,0.14,0.15,5.87,1.89,0.853,0.0016,0.4,7.1
Bone,0.9,0.1,0.45,1.82,0.81,0.017,0.0017,0.67,7
Brain,1,0.004,0.78,25.79,0.1,0.039,0.0015,0.4,7.1
Gut,0.9,0.096,0.76,0.64,0.21,0.038,0.0125,2.41,7
Heart,0.86,0.14,0.8,0.74,0.26,0.014,0.0111,2.25,7.1
Kidney,0.78,0.22,0.76,0.23,0.29,0.012,0.0242,5.03,7.22
Liver,0.82,0.18,0.73,0.36,0.31,0.014,0.024,4.56,7.23
Lung,0.5,0.5,0.78,0.072,0.15,0.022,0.0128,3.91,6.6
Muscle,0.88,0.12,0.75,0.099,0.25,0.01,0.0072,1.53,6.81
Skin,0.69,0.31,0.67,0.32,0.87,0.06,0.0044,1.32,7
Spleen,0.79,0.21,0.79,0.077,0.31,0.0077,0.0113,3.18,7
Testes,0.9,0.1,0.78,0.3,0.17,0,0.83,0.18,7
RBC,1,0,0.63,0,0.52,0.0017,0.0029,0.5,7.2
