tissue,f_water,f_water_cv,f_water_sd,f_lipids,f_lipids_cv,f_lipids_sd,f_proteins,f_proteins_cv,f_proteins_sd,f_pl,f_pl_sd,f_n_l,f_n_l_cv,f_n_l_sd,f_n_pl,f_n_pl_cv,f_n_pl_sd,f_a_pl,f_a_pl_cv,f_a_pl_sd,pH,pH_cv,pH_sd,f_ew,f_ew_sd,f_iw,f_iw_sd,AR,AR_sd,LR,LR_sd
Adipose,0.153,1,0.0,0.8,12,0.10,0.05,6,0.003,0.002,0.000,0.798,17,0.1357,0.0478,18,0.0086,0.0067,18,0.0,7.1,11,0.78,1.35,0.068,0.017,0.001,0.049,0.002,0.069,0.003
Bone,0.439,1,0.0,0.268,12,0.03,0.268,6,0.016,0.0011,0.000,0.074,17,0.0126,0.0016,18,0.0003,8E-04,18,0.0,7,11,0.77,0.1,0.005,0.346,0.017,0.1,0.005,0.05,0.003
Brain,0.771,1,0.0,0.107,12,0.01,0.08,6,0.005,0.0565,0.003,0.045,17,0.0077,0.0553,18,0.0100,0.02022,18,0.0,7.1,11,0.78,0.162,0.008,0.62,0.031,0.048,0.002,0.041,0.002
Heart,0.742,1,0.0,0.1,12,0.01,0.17,6,0.010,0.0166,0.001,0.089,17,0.0151,0.0079,18,0.0014,0.00309,18,0.0,7.1,11,0.78,0.32,0.016,0.456,0.023,0.157,0.008,0.16,0.008
Kidney,0.778,1,0.0,0.052,12,0.01,0.17,6,0.010,0.0162,0.001,0.036,17,0.0061,0.0166,18,0.0030,0.00387,18,0.0,7.22,11,0.79,0.273,0.014,0.483,0.024,0.13,0.007,0.137,0.007
Gut,0.718,1,0.0,0.062,12,0.01,0.133,6,0.008,0.0163,0.001,0.0487,17,0.0083,0.0124,18,0.0022,3.5E-03,18,0.0,7.4,11,0.81,0.282,0.014,0.475,0.024,0.158,0.008,0.141,0.007
Liver,0.737,1,0.0,0.067,12,0.01,0.18,6,0.011,0.0252,0.001,0.037,17,0.0063,0.0115,18,0.0021,0.00258,18,0.0,7.23,11,0.80,0.161,0.008,0.573,0.029,0.086,0.004,0.161,0.008
Lung,0.796,1,0.0,0.01,12,0.00,0.18,6,0.011,0.009,0.000,0.003,17,0.0005,0.0056,18,0.0010,0.0014,18,0.0,6.6,11,0.73,0.336,0.017,0.446,0.022,0.212,0.011,0.168,0.008
Muscle,0.773,1,0.0,0.019,12,0.00,0.17,6,0.010,0.0072,0.000,0.013,17,0.0022,0.0092,18,0.0017,0.0019,18,0.0,6.81,11,0.75,0.118,0.006,0.63,0.032,0.064,0.003,0.059,0.003
Skin,0.667,1,0.0,0.1,12,0.01,0.29,6,0.017,0.0111,0.001,0.036,17,0.0061,0.0502,18,0.0090,0.01382,18,0.0,7,11,0.77,0.382,0.019,0.291,0.015,0.277,0.014,0.096,0.005
Spleen,0.783,1,0.0,0.028,12,0.00,0.19,6,0.011,0.0198,0.001,0.014,17,0.0024,0.0103,18,0.0019,0.00191,18,0.0,7,11,0.77,0.207,0.010,0.579,0.029,0.097,0.005,0.207,0.010
RBCs,0.663,9,0.1,0.005,3,0.00,0.33,2,0.007,NA,NA,0.002,13,0.0003,0.0025,7,0.0002,0.0005,13,0.0,7.2,11,0.79,NA,NA,0.603,0.030,NA,NA,NA,NA
Plasma,0.928,1,0.0,0.009,13,0.00,0.07,3,0.002,0.00225,0.000,0.003,13,0.0004,0.005,2,0.0001,0.00097,2,0.0,7.3,11,0.80,NA,NA,NA,NA,NA,NA,NA,NA
